Variable,Reference,Comparison,RMSE,Bias,N_points,Reference_mean,Comparison_mean,Reference_std,Comparison_std,Unit
wind_v,Tower 3m_wind_v,PALM New 3m_wind_v,,,0,-0.06384861111111112,0.009834637865424156,0.07187096916403032,0.046746429055929184,m/s
wind_w,Tower 3m_wind_w,PALM New 3m_wind_w,,,0,-0.02002777777777778,-0.009915105998516083,0.029435233956105773,0.021978557109832764,m/s
wind_u,Tower 10m_wind_u,ICON-D2 10m_wind_u,2.0886375433955617,-1.9283656451702118,24,-0.5795444444444445,-2.4844849361823154,0.26248330792561103,0.9980135516282094,m/s
wind_v,Tower 10m_wind_v,ICON-D2 10m_wind_v,0.7122759932337328,0.30172601888926903,24,0.3924631944444445,0.6239784288649949,0.5368792286351405,1.0400138936881194,m/s
wind_w,Tower 10m_wind_w,ICON-D2 10m_wind_w,0.07734092115263612,0.04840331829197871,24,-0.04196319444444444,0.0010575116778174841,0.05315789994909553,0.003491088742447803,m/s
wind_u,Tower 3m_wind_u,ICON-D2 3m_wind_u,2.7610943805149777,-2.54191842294799,24,0.02674027777777778,-2.4844849361823154,0.08562477450917222,0.9980135516282094,m/s
wind_v,Tower 3m_wind_v,ICON-D2 3m_wind_v,1.2645516343173238,0.7510204633337135,24,-0.06384861111111112,0.6239784288649949,0.07187096916403032,1.0400138936881194,m/s
wind_w,Tower 3m_wind_w,ICON-D2 3m_wind_w,0.03937258635862472,0.027593193581752353,24,-0.02002777777777778,0.0011307212011021106,0.029435233956105773,0.003515225180307273,m/s
wind_u,PALM New 10m_wind_u,ICON-D2 10m_wind_u,,,0,-0.13410106301307678,-2.4844849361823154,0.2129136472940445,0.9980135516282094,m/s
wind_v,PALM New 10m_wind_v,ICON-D2 10m_wind_v,,,0,0.02475462481379509,0.6239784288649949,0.3461781144142151,1.0400138936881194,m/s
wind_w,PALM New 10m_wind_w,ICON-D2 10m_wind_w,,,0,-0.013194235973060131,0.0010575116778174841,0.04467666521668434,0.003491088742447803,m/s
wind_u,PALM New 3m_wind_u,ICON-D2 3m_wind_u,,,0,-0.024482127279043198,-2.4844849361823154,0.034274619072675705,0.9980135516282094,m/s
wind_v,PALM New 3m_wind_v,ICON-D2 3m_wind_v,,,0,0.009834637865424156,0.6239784288649949,0.046746429055929184,1.0400138936881194,m/s
wind_w,PALM New 3m_wind_w,ICON-D2 3m_wind_w,,,0,-0.009915105998516083,0.0011307212011021106,0.021978557109832764,0.003515225180307273,m/s
wind_speed,Tower 10m_wind_speed,PALM New 10m_wind_speed,,,0,1.086959722222222,0.4761561453342438,0.5716958286238294,0.18424364924430847,m/s
wind_speed,Tower 3m_wind_speed,PALM New 3m_wind_speed,,,0,0.4269423611111111,0.4761561453342438,0.24149430952234963,0.18424364924430847,m/s
wind_direction,Tower 10m_wind_direction,PALM New 10m_wind_direction,,,0,111.13414513888888,162.4373016357422,37.67486204547399,118.72203826904297,°
wind_direction,Tower 3m_wind_direction,PALM New 3m_wind_direction,,,0,171.3253840277778,162.4373016357422,45.762724065272984,118.72203826904297,°
wind_speed,Tower 10m_wind_speed,ICON-D2 10m_wind_speed,1.730922085796973,1.6097951793387433,24,1.086959722222222,2.6872618003185504,0.5716958286238294,1.1797982803964522,m/s
wind_speed,Tower 3m_wind_speed,ICON-D2 3m_wind_speed,2.485699148171841,2.2938729571165215,24,0.4269423611111111,2.6872618003185504,0.24149430952234963,1.1797982803964522,m/s
wind_direction,Tower 10m_wind_direction,ICON-D2 10m_wind_direction,174.98342604791853,171.4739989575687,24,111.13414513888888,278.0833971720965,37.67486204547399,18.95192647558132,°
wind_direction,Tower 3m_wind_direction,ICON-D2 3m_wind_direction,112.94705382210927,103.11821562423539,24,171.3253840277778,278.0833971720965,45.762724065272984,18.95192647558132,°
wind_speed,PALM New 10m_wind_speed,ICON-D2 10m_wind_speed,,,0,0.4761561453342438,2.6872618003185504,0.18424364924430847,1.1797982803964522,m/s
wind_speed,PALM New 3m_wind_speed,ICON-D2 3m_wind_speed,,,0,0.4761561453342438,2.6872618003185504,0.18424364924430847,1.1797982803964522,m/s
wind_direction,PALM New 10m_wind_direction,ICON-D2 10m_wind_direction,,,0,162.4373016357422,278.0833971720965,118.72203826904297,18.95192647558132,°
wind_direction,PALM New 3m_wind_direction,ICON-D2 3m_wind_direction,,,0,162.4373016357422,278.0833971720965,118.72203826904297,18.95192647558132,°
shortwave_down,Tower 8m_shortwave_down,PALM New 8m_shortwave_down,,,0,210.76848125,220.0908660888672,261.7389626021601,260.8092346191406,W/m²
shortwave_down,Tower 2m_shortwave_down,PALM New 2m_shortwave_down,,,0,31.653712499999997,142.9729461669922,43.96233250824593,169.4373321533203,W/m²
shortwave_up,Tower 8m_shortwave_up,PALM New 8m_shortwave_up,,,0,30.930612500000002,5.73394250869751,40.25706574759264,7.2008795738220215,W/m²
shortwave_up,Tower 2m_shortwave_up,PALM New 2m_shortwave_up,,,0,11.308363194444446,3.7121503353118896,16.750534527109295,4.675451755523682,W/m²
